cycle,candidate,submitted,public_score,remote_path,local_path,size_bytes,sha256,notes
1,cocoaai/nvidia-nemotron-huikang-0-87-svd-submit,yes,0.84,C:\Users\Kun\Desktop\kaggle\nemotron_project\outputs\cycle01_cocoaai_huikang_087_svd\submission.zip,outputs/cycle01_cocoaai_huikang_087_svd/submission.zip,3259378804,5956c412ceb06b70376cd3ff1d8738043768851baf3d330dbaf6921fab6eccee,local zip synced
2,syu21125/nemotron-v62-submit-v3,yes,0.44,C:\Users\Kun\Desktop\kaggle\nemotron_project\outputs\prefetch_syu_v62\submission.zip,,3819317381,005687F991C545789A3BD05E9DEEE5C5D0128DD0D9A5106DAC45EF9A1A01231E,remote zip retained
3,sethmoudry/nemotron-sft-v32-adapter,yes,0.85,C:\Users\Kun\Desktop\kaggle\nemotron_project\outputs\prefetch_sethmoudry_v32\submission.zip,,3554385847,9C0083797FD0F1E0753723FA3520113790548EC05D2F23A76183D7D6ABD9EE2F,remote zip retained
4,kingkong153/nemotron-adapter-v31,yes,0.83,C:\Users\Kun\Desktop\kaggle\nemotron_project\outputs\prefetch_kingkong_v31\submission.zip,,4259065577,165AA5350082478C33ABF94BCC73994A6BD4C5C02A906FF901EA21BC9BE386FC,remote zip retained
5,nybbler/nemotron-v6-aux-adapter,yes,0.84,C:\Users\Kun\Desktop\kaggle\nemotron_project\outputs\prefetch_nybbler_v6_aux\submission.zip,,3537300899,ED8915296A893FB6B480ED888E2C9F7E7686E9697D7B2488DB0998E7AB63CE63,remote zip retained
candidate,scenerysunfireink/nemotron-comp-17-adapter-ensemble-fork,no,,C:\Users\Kun\Desktop\kaggle\nemotron_project\outputs\prefetch_scenery_17_adapter_ensemble\submission.zip,,3268303050,DA2527582B938155E1A51E4E2FAB10A206E7C7CD7A5EDD0944D11A4019BAEB06,not submitted; nested prefix requires repack before use
